Subject,Mood,TaskTracking,StartDate,StartTime,EndDate,EndTime,Duration
SE,1,no,2024-10-21,14:00:00,2024-10-21,14:30:00,00:30:00
SE,3,yes,2024-10-21,15:30:00,2024-10-21,17:22:00,01:52:00
PBR,6,no,2024-10-22,09:24:00,2024-10-22,13:51:12,04:27:12
PBR,5,yes,2024-10-22,14:17:45,2024-10-22,15:23:22,01:05:37
PBR,7,no,2024-10-23,09:51:45,2024-10-23,11:38:45,01:47:00
PBR,4,no,2024-10-23,11:44:16,2024-10-23,12:50:16,01:06:00
PBR,3,yes,2024-10-23,13:26:11,2024-10-23,15:26:31,02:00:20
SE,5,no,2024-10-29,08:51:03,2024-10-29,10:30:00,01:38:57
SE,1,no,2024-10-29,15:32:01,2024-10-29,16:54:28,01:22:27
SE,4,no,2024-10-30,09:52:39,2024-10-30,11:51:52,01:59:13
SE,4,no,2024-10-30,12:45:00,2024-10-30,16:44:14,03:59:14
PPI,4,yes,2024-10-30,16:56:46,2024-10-30,18:00:46,01:04:00
PBR,4,no,2024-11-01,12:08:26,2024-11-01,17:36:26,05:28:00
PBR,1,no,2024-11-05,09:30:00,2024-11-05,16:45:00,07:15:00
PBR,4,no,2024-11-06,13:45:00,2024-11-06,16:45:00,03:00:00
PBR,6,yes,2024-11-07,14:30:00,2024-11-07,17:00:00,02:30:00
PBR,5,yes,2024-11-08,13:25:25,2024-11-08,13:27:19,00:01:54
DT,7,no,2024-11-08,13:28:00,2024-11-08,17:51:53,04:23:53
DT,7,yes,2024-11-12,16:13:36,2024-11-12,18:28:49,02:15:13
SE,7,yes,2024-11-13,09:27:02,2024-11-13,09:42:49,00:15:47
PBR,4,no,2024-11-13,10:08:00,2024-11-13,13:23:17,03:15:17
PPI,7,no,2024-11-13,15:28:27,2024-11-13,15:28:28,00:00:00
PPI,7,no,2024-11-13,15:28:27,2024-11-13,16:07:29,00:45:14
PBR,4,no,2024-11-13,16:17:20,2024-11-13,17:24:24,01:07:04
PBR,4,no,2024-11-14,10:15:25,2024-11-14,10:32:18,00:16:52
PPI,5,yes,2024-11-15,11:17:30,2024-11-15,17:30:18,06:12:48
PBR,2,yes,2024-11-16,10:44:39,2024-11-16,15:23:41,04:39:01
Challenge 1,3,no,2024-11-18,11:24:47,2024-11-18,11:24:55,00:00:08
Challenge 1,3,no,2024-11-18,11:26:04,2024-11-18,11:26:16,00:00:11
DT,2,no,2024-11-18,11:29:07,2024-11-18,11:29:22,00:00:15
DT,5,yes,2024-11-19,15:16:38,2024-11-19,17:48:11,02:31:32
SE,1,no,2024-11-20,12:55:34,2024-11-20,12:30:54,00:35:33
PPI,2,no,2024-11-20,16:41:52,2024-11-20,17:17:59,00:36:06
DT,0,4,2024-11-25,11:07:50,2024-11-25,11:07:58,0.1330835739771525
